epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,10058.4,1.082,2.38615,1.29536,0.49062,0.52912,0.45965,0.21803,1.91139,5.74013,1.97174,0.000751067,0.000751067,0.000751067
113,10149.1,1.07444,2.32906,1.29815,0.52929,0.44972,0.41896,0.18604,1.97597,5.89236,1.99502,0.000742815,0.000742815,0.000742815
114,10241.5,1.11387,2.48389,1.3298,0.53859,0.47789,0.45351,0.20731,1.95248,5.85167,1.99611,0.000734564,0.000734564,0.000734564
115,10333.4,1.11582,2.44536,1.32626,0.54856,0.46652,0.44166,0.20992,1.95973,5.47169,1.99649,0.000726312,0.000726312,0.000726312
116,10423.1,1.09773,2.40474,1.31703,0.54126,0.42136,0.43528,0.21024,1.93581,5.85197,2.0019,0.00071806,0.00071806,0.00071806
117,10512.2,1.06435,2.35726,1.29978,0.44631,0.47622,0.43917,0.21322,1.98466,5.93515,2.01633,0.000709809,0.000709809,0.000709809
118,10603.6,1.09821,2.50774,1.32981,0.58531,0.49623,0.48148,0.23345,1.8774,5.34916,1.91951,0.000701557,0.000701557,0.000701557
119,10695.8,1.11165,2.46102,1.3349,0.52159,0.49449,0.46368,0.21941,1.87027,5.7167,1.93425,0.000693305,0.000693305,0.000693305
120,10787.1,1.082,2.30126,1.30232,0.49027,0.46976,0.42062,0.20364,1.97289,5.91845,2.04434,0.000685054,0.000685054,0.000685054
121,10877.7,1.09407,2.39215,1.30836,0.50945,0.47564,0.45672,0.22145,1.97324,5.77611,2.00775,0.000676802,0.000676802,0.000676802
122,10967.3,1.08026,2.39669,1.31419,0.44554,0.49623,0.44316,0.20105,1.94677,5.86648,1.99937,0.00066855,0.00066855,0.00066855
123,11058,1.09898,2.34736,1.31369,0.46723,0.53496,0.45187,0.20944,1.97123,5.80721,2.01907,0.000660299,0.000660299,0.000660299
124,11148.4,1.07008,2.27714,1.28765,0.45715,0.4727,0.41953,0.19066,2.03031,6.1697,2.08093,0.000652047,0.000652047,0.000652047
125,11238,1.08212,2.37847,1.31338,0.47431,0.53015,0.45016,0.20959,1.91875,5.47623,1.95349,0.000643795,0.000643795,0.000643795
126,11326.6,1.07876,2.34421,1.3043,0.50324,0.56201,0.47537,0.2167,1.98652,5.55095,2.03287,0.000635544,0.000635544,0.000635544
127,11417.1,1.06697,2.30683,1.29461,0.50211,0.47978,0.42655,0.19199,2.01186,5.52859,2.04568,0.000627292,0.000627292,0.000627292
128,11507.3,1.06598,2.2599,1.30348,0.46868,0.54364,0.45685,0.21279,1.92605,5.63697,1.96011,0.00061904,0.00061904,0.00061904
129,11596.5,1.0539,2.21923,1.28645,0.44868,0.45327,0.41945,0.20527,1.94704,6.06619,1.97898,0.000610789,0.000610789,0.000610789
130,11686.4,1.06488,2.27124,1.28807,0.44795,0.46047,0.4131,0.19834,1.96415,6.40984,2.00883,0.000602537,0.000602537,0.000602537
131,11779.2,1.07212,2.32392,1.29652,0.37901,0.53086,0.41158,0.19535,1.92745,6.21261,2.01341,0.000594286,0.000594286,0.000594286
132,11869.2,1.04057,2.23406,1.28026,0.45005,0.47417,0.43334,0.21514,1.88612,5.69114,1.95467,0.000586034,0.000586034,0.000586034
133,11961.9,1.04777,2.22521,1.28041,0.50308,0.50857,0.47941,0.23262,1.89023,5.30506,1.95219,0.000577782,0.000577782,0.000577782
134,12051.8,1.05771,2.25022,1.29868,0.51445,0.52835,0.45683,0.20983,1.93478,5.60902,2.02633,0.000569531,0.000569531,0.000569531
135,12141.3,1.05136,2.31459,1.2937,0.49715,0.54077,0.47862,0.22919,1.9061,5.33436,1.96337,0.000561279,0.000561279,0.000561279
136,12231.1,1.04762,2.23056,1.29054,0.5165,0.49623,0.44617,0.21511,1.88415,5.94102,1.95145,0.000553027,0.000553027,0.000553027
137,12320.5,1.0481,2.22085,1.28643,0.47264,0.49855,0.44489,0.21753,1.96331,5.77411,1.98727,0.000544776,0.000544776,0.000544776
138,12410.8,1.02266,2.17314,1.26864,0.50131,0.47564,0.45831,0.22921,1.91878,5.37022,2.01507,0.000536524,0.000536524,0.000536524
139,12499.5,1.01134,2.05902,1.25073,0.46779,0.50091,0.45733,0.22642,1.96847,5.51474,2.0732,0.000528272,0.000528272,0.000528272
